id,code,name,institution_id/id
edu_career_140332361_812015,812015,Cosmética Dermatológica,al_hr_pe.edu_inst_140332361
edu_career_140337915_331095,331095,Administración De Empresas,al_hr_pe.edu_inst_140337915
edu_career_140337915_337025,337025,Secretariado Ejecutivo,al_hr_pe.edu_inst_140337915
edu_career_140337915_342025,342025,Contabilidad,al_hr_pe.edu_inst_140337915
edu_career_140337915_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140337915
edu_career_140337931_222095,222095,Diseño De Interiores,al_hr_pe.edu_inst_140337931
edu_career_140337931_222165,222165,Diseño Publicitario,al_hr_pe.edu_inst_140337931
edu_career_140337931_321025,321025,Comunicación Audiovisual,al_hr_pe.edu_inst_140337931
edu_career_140337931_528015,528015,Diseño De Modas,al_hr_pe.edu_inst_140337931
edu_career_140359729_342025,342025,Contabilidad,al_hr_pe.edu_inst_140359729
edu_career_140359729_422025,422025,Química Industrial,al_hr_pe.edu_inst_140359729
edu_career_140359729_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140359729
edu_career_140359729_524035,524035,Electrotécnia Industrial,al_hr_pe.edu_inst_140359729
edu_career_140359729_525065,525065,Electrónica Industrial,al_hr_pe.edu_inst_140359729
edu_career_140359729_526165,526165,Mecánica Automotriz,al_hr_pe.edu_inst_140359729
edu_career_140359729_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140359729
edu_career_140359729_527055,527055,Metalurgia,al_hr_pe.edu_inst_140359729
edu_career_140359729_527065,527065,Modelería Y Fundición,al_hr_pe.edu_inst_140359729
edu_career_140359729_714035,714035,Enfermería Técnica,al_hr_pe.edu_inst_140359729
edu_career_140450114_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140450114
edu_career_140450114_524035,524035,Electrotécnia Industrial,al_hr_pe.edu_inst_140450114
edu_career_140450114_525065,525065,Electrónica Industrial,al_hr_pe.edu_inst_140450114
edu_career_140450114_526165,526165,Mecánica Automotriz,al_hr_pe.edu_inst_140450114
edu_career_140450114_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140450114
edu_career_140450114_527055,527055,Metalurgia,al_hr_pe.edu_inst_140450114
edu_career_140450114_531025,531025,Construcción Civil,al_hr_pe.edu_inst_140450114
edu_career_140478412_222125,222125,Diseño Gráfico,al_hr_pe.edu_inst_140478412
edu_career_140478412_222165,222165,Diseño Publicitario,al_hr_pe.edu_inst_140478412
edu_career_140478412_331095,331095,Administración De Empresas,al_hr_pe.edu_inst_140478412
edu_career_140478412_337025,337025,Secretariado Ejecutivo,al_hr_pe.edu_inst_140478412
edu_career_140478412_342025,342025,Contabilidad,al_hr_pe.edu_inst_140478412
edu_career_140478412_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140478412
edu_career_140478412_526165,526165,Mecánica Automotriz,al_hr_pe.edu_inst_140478412
edu_career_140478412_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140478412
edu_career_140478412_531025,531025,Construcción Civil,al_hr_pe.edu_inst_140478412
edu_career_140479048_337025,337025,Secretariado Ejecutivo,al_hr_pe.edu_inst_140479048
edu_career_140479048_342025,342025,Contabilidad,al_hr_pe.edu_inst_140479048
edu_career_140479048_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140479048
edu_career_140479048_522025,522025,Industrias Alimentarias,al_hr_pe.edu_inst_140479048
edu_career_140479048_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140479048
edu_career_140479048_611115,611115,Producción Agropecuaria,al_hr_pe.edu_inst_140479048
edu_career_140479048_714035,714035,Enfermería Técnica,al_hr_pe.edu_inst_140479048
edu_career_140479048_716015,716015,Farmacia,al_hr_pe.edu_inst_140479048
edu_career_140481085_337025,337025,Secretariado Ejecutivo,al_hr_pe.edu_inst_140481085
edu_career_140481085_342025,342025,Contabilidad,al_hr_pe.edu_inst_140481085
edu_career_140481085_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140481085
edu_career_140481085_524035,524035,Electrotécnia Industrial,al_hr_pe.edu_inst_140481085
edu_career_140481085_525065,525065,Electrónica Industrial,al_hr_pe.edu_inst_140481085
edu_career_140481085_526165,526165,Mecánica Automotriz,al_hr_pe.edu_inst_140481085
edu_career_140481085_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140481085
edu_career_140481085_531025,531025,Construcción Civil,al_hr_pe.edu_inst_140481085
edu_career_140481085_611115,611115,Producción Agropecuaria,al_hr_pe.edu_inst_140481085
edu_career_140481093_337025,337025,Secretariado Ejecutivo,al_hr_pe.edu_inst_140481093
edu_career_140481093_342025,342025,Contabilidad,al_hr_pe.edu_inst_140481093
edu_career_140481093_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140481093
edu_career_140481093_524035,524035,Electrotécnia Industrial,al_hr_pe.edu_inst_140481093
edu_career_140481093_526165,526165,Mecánica Automotriz,al_hr_pe.edu_inst_140481093
edu_career_140481093_526185,526185,Mecánica De Producción,al_hr_pe.edu_inst_140481093
edu_career_140481093_527055,527055,Metalurgia,al_hr_pe.edu_inst_140481093
edu_career_140481093_531025,531025,Construcción Civil,al_hr_pe.edu_inst_140481093
edu_career_140481093_611115,611115,Producción Agropecuaria,al_hr_pe.edu_inst_140481093
edu_career_140481093_714035,714035,Enfermería Técnica,al_hr_pe.edu_inst_140481093
edu_career_140481093_716015,716015,Farmacia,al_hr_pe.edu_inst_140481093
edu_career_140481093_811055,811055,Guía Oficial De Turismo,al_hr_pe.edu_inst_140481093
edu_career_140481127_332065,332065,Administración De Servicios De Hostelería,al_hr_pe.edu_inst_140481127
edu_career_140481127_342025,342025,Contabilidad,al_hr_pe.edu_inst_140481127
edu_career_140481127_441095,441095,Computación E Informática,al_hr_pe.edu_inst_140481127
edu_career_140481127_524035,524035,Electrotécnia Industrial,al_hr_pe.edu_inst_140481127
edu_career_140481127_525065,525065,Electrónica Industrial,al_hr_pe.edu_inst_140481127
