id,code,name
edu_inst_140332361,140332361,Naciones Unidas
edu_inst_140337915,140337915,Argentina
edu_inst_140337931,140337931,Diseño Y Comunicacion
edu_inst_140359729,140359729,Carlos Salazar Romero
edu_inst_140450114,140450114,Jose Pardo
edu_inst_140478412,140478412,Maria Rosario Araoz Pinto
edu_inst_140479048,140479048,Santiago Antunez De Mayolo
edu_inst_140481085,140481085,Pedro P. Diaz
edu_inst_140481093,140481093,Jose Carlos Mariategui - Mariscal Nieto
edu_inst_140481127,140481127,Tupac Amaru
edu_inst_140481143,140481143,Pedro A. Del Aguila Hidalgo
edu_inst_140481218,140481218,Jose Antonio Encinas
edu_inst_140481226,140481226,Manuel Nuñez Butron
edu_inst_140508473,140508473,Victor Alvarez Huapaya
edu_inst_140510784,140510784,Cap Fap Jose Abelardo Quiñones
edu_inst_140517664,140517664,Chincha
edu_inst_140520197,140520197,La Salle
edu_inst_140521682,140521682,Nor Oriental De La Selva
edu_inst_140532226,140532226,Huarmaca
edu_inst_140551317,140551317,Francisco De Paula Gonzales Vigil
edu_inst_140560615,140560615,San Andres - Ayabaca
edu_inst_140563460,140563460,Pisco
edu_inst_140563619,140563619,Catalina Buendia De Pecho
edu_inst_140567313,140567313,Adolfo Vienrich
edu_inst_140568154,140568154,Peru-Japon
edu_inst_140575746,140575746,Pasco
edu_inst_140584672,140584672,Eleazar Guzman Barron
edu_inst_140584722,140584722,Suiza
edu_inst_140586628,140586628,Aparicio Pomares
edu_inst_140588012,140588012,Trujillo
edu_inst_140591941,140591941,4 De Junio De 1821
edu_inst_140597237,140597237,Simon Bolivar - Callao
edu_inst_140605717,140605717,General Oscar Arteta Terzi
edu_inst_140606475,140606475,Pedro Ortiz Montoya
edu_inst_140606541,140606541,Cajamarca
edu_inst_140622365,140622365,Nueva Esperanza
edu_inst_140622860,140622860,Sullana
edu_inst_140623082,140623082,Julio Cesar Tello
edu_inst_140626192,140626192,Republica Federal De Alemania
edu_inst_140630467,140630467,Juli
edu_inst_140635995,140635995,Almirante Miguel Grau
edu_inst_140636050,140636050,Alfred Nobel
edu_inst_140644013,140644013,Victor Raul Haya De La Torre-Barranca
edu_inst_140653493,140653493,San Marcos Distrito De San Marcos
edu_inst_140659003,140659003,Daniel Alcides Carrion-Daniel Alcides Carrion
edu_inst_140660936,140660936,Manuel Gonzales Prada
edu_inst_140665984,140665984,Daniel Villar
edu_inst_140669515,140669515,Olmos
edu_inst_140669549,140669549,Motupe
edu_inst_140671107,140671107,Huanta
edu_inst_140671115,140671115,Peru-Corea Del Sur
edu_inst_140674614,140674614,Vicus
edu_inst_140674622,140674622,Nestor Samuel Martos Garrido
edu_inst_140675850,140675850,Alto Mayo
edu_inst_140675868,140675868,Rioja
edu_inst_140678425,140678425,Chota
edu_inst_140678433,140678433,Bambamarca
edu_inst_140679779,140679779,Vilcanota
edu_inst_140680769,140680769,San Ignacio
edu_inst_140680959,140680959,Luis E Valcarcel
edu_inst_140681601,140681601,Aija
edu_inst_140681619,140681619,Juan Huarin
edu_inst_140684092,140684092,Oxapampa
edu_inst_140684654,140684654,De Piscobamba
edu_inst_140688051,140688051,Huancavelica
edu_inst_140690545,140690545,Victor Andres Belaunde - Santiago De Chuco
edu_inst_140690966,140690966,Guadalupe
