id,code,name,for_executive,for_employee,for_worker
occupation_121001,121001,"Director De Empresas, De Agricultura, Caza, Silvicultura Y",True,True,False
occupation_121002,121002,"Director Ejecutivo, Empresa, Agricultura, Caza, Silvicultur",True,True,False
occupation_121003,121003,"Director General, Empresa/Agricultura",True,True,False
occupation_121004,121004,"Director General, Empresa/Caza",True,True,False
occupation_121005,121005,"Director General, Empresa/Explotacion: Agricola, Forestal Y",True,True,False
occupation_121006,121006,"Director General, Empresa/Pesca",True,True,False
occupation_121007,121007,"Director General, Empresa/Silvicultura",True,True,False
occupation_121008,121008,"Director General, Organizacion/ Caza",True,True,False
occupation_121009,121009,"Director General, Organizacion/Pesca",True,True,False
occupation_121010,121010,"Director General, Organizacion/Silvicultura",True,True,False
occupation_121011,121011,"Gerente General, Empresa/Agricultura",True,True,False
occupation_121012,121012,"Gerente General, Empresa/Caza",True,True,False
occupation_121013,121013,"Gerente General, Empresa/Pesca",True,True,False
occupation_121014,121014,"Gerente General, Empresa/Silvicultura",True,True,False
occupation_121015,121015,"Gerente General, Organizacion/Caza",True,True,False
occupation_121016,121016,"Gerente General, Organizacion/Pesca",True,True,False
occupation_121017,121017,"Gerente General, Organizacion/Silvicultura",True,True,False
occupation_121020,121020,"Presidente Del Directorio, Agricultura, Caza, Silvicultura",True,True,False
occupation_122001,122001,"Director De Empresas, De Industrias Manufactureras, Minas Y",True,True,False
occupation_122002,122002,"Director Ejecutivo, Empresa, Industria Manufacturera, Minas",True,True,False
occupation_122003,122003,"Director General, Empresa/Industria Manufacturera",True,True,False
occupation_122004,122004,"Director General, Empresa/Suministro De Electricidad, Gas Y",True,True,False
occupation_122005,122005,"Gerente General, Empresa/Industria Manufacturera",True,True,False
occupation_122006,122006,"Gerente General, Empresa/Suministro De Electricidad, Gas Y",True,True,False
occupation_122008,122008,"Presidente Del Directorio, Industrias Manufactureras, Minas",True,True,False
occupation_123001,123001,"Director De Empresas, De Construccion Y Obras Publicas",True,True,False
occupation_123002,123002,"Director Ejecutivo, Empresa, De Construccion Y Obras Public",True,True,False
occupation_123003,123003,"Director General, Empresa/Construccion Y Obras Publicas",True,True,False
occupation_123004,123004,"Gerente General, Empresa/Construccion Y Obras Publicas",True,True,False
occupation_123006,123006,"Presidente Del Directorio, Contruccion Y Obras Publicas",True,True,False
occupation_124001,124001,"Director De Empresas, De Comercio Mayorista Y Minorista, Re",True,True,False
occupation_124002,124002,"Director Ejecutivo, Empresa, De Comercio Mayorista Y Minori",True,True,False
occupation_124003,124003,"Director General, Empresa/Comercio Mayorista",True,True,False
occupation_124004,124004,"Director General, Empresa/Comercio Minorista",True,True,False
occupation_124005,124005,"Director General, Organizacion/Comercio Mayorista",True,True,False
occupation_124006,124006,"Director General, Organizacion/Comercio Minorista",True,True,False
occupation_124007,124007,"Director General, Reparacion/Vehiculos, Automotores, Etc.",True,True,False
occupation_124008,124008,"Gerente General, Empresa/Comercio Mayorista",True,True,False
occupation_124009,124009,"Gerente General, Empresa/Comercio Minorista",True,True,False
occupation_124010,124010,"Gerente Organizacion, Empresa/Comercio Mayorista",True,True,False
occupation_124011,124011,"Gerente Organizacion, Empresa/Comercio Minorista",True,True,False
occupation_124013,124013,"Presidente Del Directorio, Comercio Mayorista Y Minorista,",True,True,False
occupation_125001,125001,"Director De Empresas, De Restaurantes Y Hoteleria",True,True,False
occupation_125002,125002,"Director Ejecutivo, Empresa, De Restaurantes Y Hoteleria",True,True,False
occupation_125003,125003,"Director General, Empresa/Hoteleria",True,True,False
occupation_125004,125004,"Director General, Empresa/Restaurante",True,True,False
occupation_125005,125005,"Director General, Organizacion/Hoteleria",True,True,False
occupation_125006,125006,"Director General, Organizacion/Restaurante",True,True,False
occupation_125007,125007,"Gerente General, Empresa/Hoteleria",True,True,False
occupation_125008,125008,"Gerente General, Empresa/Restaurante",True,True,False
occupation_125009,125009,"Gerente General, Organizacion/Hoteleria",True,True,False
occupation_125010,125010,"Gerente General, Organizacion/Restaurantes",True,True,False
occupation_125012,125012,"Presidente Del Directorio, Restaurantes Y Hoteleria",True,True,False
occupation_126001,126001,"Director De Empresas, De Transporte, Almacenamiento Y Comun",True,True,False
occupation_126002,126002,"Director Ejecutivo, Empresa, De Transporte, Almacenamiento",True,True,False
occupation_126003,126003,"Director General, Empresa/Almacenamiento",True,True,False
occupation_126004,126004,"Director General, Empresa/Comunicaciones",True,True,False
occupation_126005,126005,"Director General, Empresa/Transporte",True,True,False
occupation_126006,126006,"Director General, Organizacion/Transporte",True,True,False
occupation_126007,126007,"Gerente General, Empresa/Almacenamiento",True,True,False
occupation_126008,126008,"Gerente General, Empresa/Comunicaciones",True,True,False
occupation_126009,126009,"Gerente General, Empresa/Transporte",True,True,False
occupation_126010,126010,"Gerente General, Organizacion/Transporte",True,True,False
occupation_126012,126012,"Presidente Del Directorio, Transporte, Almacenamiento Y Com",True,True,False
occupation_127001,127001,"Director De Empresas, De Servicios Publicos Y Financieros",True,True,False
occupation_127002,127002,"Director Ejecutivo, Empresa, De Servicios Publicos Y Financ",True,True,False
occupation_127003,127003,"Director General, Empresa/Actividades Culturales",True,True,False
occupation_127004,127004,"Director General, Empresa/Actividades Deportivas",True,True,False
occupation_127005,127005,"Director General, Empresa/Actividades Recreativas",True,True,False
occupation_127006,127006,"Director General, Empresa/Agencia De Viajes",True,True,False
occupation_127007,127007,"Director General, Empresa/Intermediacion Financiera",True,True,False
occupation_127008,127008,"Director General, Empresa/Limpieza",True,True,False
occupation_127009,127009,"Director General, Empresa/Servicio De Empresa",True,True,False
occupation_127010,127010,"Director General, Empresa/Servicio De Sanidad",True,True,False
occupation_127011,127011,"Director General, Empresa/Trabajo Social",True,True,False
occupation_127012,127012,"Director General, Organizacion/Actividades Culturales",True,True,False
occupation_127013,127013,"Director General, Organizacion/Actividades Deportivas",True,True,False
occupation_127014,127014,"Director General, Organizacion/Actividades Recreativas",True,True,False
occupation_127015,127015,"Director General, Organizacion/Agencia De Viajes",True,True,False
occupation_127016,127016,"Director General, Organizacion/Intermediacion Financiera",True,True,False
occupation_127017,127017,"Director General, Organizacion/Limpieza",True,True,False
occupation_127018,127018,"Director General, Organizacion/Servicio De Empresa",True,True,False
occupation_127019,127019,"Director General, Organizacion/Servicio De Sanidad",True,True,False
occupation_127020,127020,"Director General, Organizacion/Trabajo Social",True,True,False
occupation_127021,127021,"Gerente General, Empresa/Actividades Culturales",True,True,False
occupation_127022,127022,"Gerente General, Empresa/Actividades Deportivas",True,True,False
occupation_127023,127023,"Gerente General, Empresa/Actividades Recreativas",True,True,False
occupation_127024,127024,"Gerente General, Empresa/Agencia De Viajes",True,True,False
occupation_127025,127025,"Gerente General, Empresa/Intermediacion Financiera",True,True,False
occupation_127026,127026,"Gerente General, Empresa/Limpieza",True,True,False
occupation_127027,127027,"Gerente General, Empresa/Servicio De Empresa",True,True,False
occupation_127028,127028,"Gerente General, Empresa/Servicio De Sanidad",True,True,False
occupation_127029,127029,"Gerente General, Empresa/Trabajo Social",True,True,False
occupation_127030,127030,"Gerente General, Organizacion/Actividades Culturales",True,True,False
occupation_127031,127031,"Gerente General, Organizacion/Actividades Deportivas",True,True,False
occupation_127032,127032,"Gerente General, Organizacion/Actividades Recreativas",True,True,False
occupation_127033,127033,"Gerente General, Organizacion/Agencia De Viajes",True,True,False
occupation_127034,127034,"Gerente General, Organizacion/Intermediacion Financiera",True,True,False
occupation_127035,127035,"Gerente General, Organizacion/Limpieza",True,True,False
occupation_127036,127036,"Gerente General, Organizacion/Servicio De Empresa",True,True,False
occupation_127037,127037,"Gerente General, Organizacion/Servicio De Sanidad",True,True,False
occupation_127038,127038,"Gerente General, Organizacion/Trabajo Social",True,True,False
occupation_127040,127040,"Presidente Del Directorio, Servicios Publicos Y Financieros",True,True,False
occupation_129004,129004,Gerente De Planta,True,True,False
occupation_129005,129005,Gerente De Produccion,True,True,False
occupation_129006,129006,Gerente Industrial,True,True,False
occupation_136001,136001,Decano,True,True,False
occupation_136002,136002,Decano De Facultad,True,True,False
occupation_136003,136003,Director De Centro Educativo,True,True,False
occupation_136004,136004,Director De Escuela Profesional,True,True,False
occupation_136005,136005,"Director De Esep/Senati, Etc.",True,True,False
occupation_136007,136007,Director De Instituto Academico,True,True,False
occupation_136008,136008,Director De Nucleos Educativos Comunales,True,True,False
occupation_136010,136010,Director Departamental De Educacion,True,True,False
occupation_136012,136012,Rector,True,True,False
occupation_136013,136013,Vice-Rector,True,True,False
occupation_137005,137005,Gerente De Administracion,True,True,False
occupation_137006,137006,Gerente De Creditos,True,True,False
occupation_139010,139010,Gerente De Comercializacion,True,True,False
occupation_139011,139011,Gerente De Ventas,True,True,False
occupation_141001,141001,"Gerente, Agricultura",True,True,False
occupation_141002,141002,"Gerente, Caza",True,True,False
occupation_141003,141003,"Gerente, Explotacion: Agricola, Forestal Y Pecuaria",True,True,False
occupation_141004,141004,"Gerente, Pesca",True,True,False
occupation_141005,141005,"Gerente, Silvicultura",True,True,False
occupation_142001,142001,"Gerente, Explotacion De Minas Y Canteras",True,True,False
occupation_142002,142002,"Gerente, Industria Manufacturera",True,True,False
occupation_142003,142003,"Gerente, Suministro De Electricidad, Gas Y Agua",True,True,False
occupation_143001,143001,"Gerente, Construccion",True,True,False
occupation_144003,144003,"Gerente, Comercio Mayorista",True,True,False
occupation_144004,144004,"Gerente, Comercio Mayorista/ Exportacion",True,True,False
occupation_144005,144005,"Gerente, Comercio Mayorista/ Importacion",True,True,False
occupation_144006,144006,"Gerente, Comercio Minorista",True,True,False
occupation_144007,144007,"Gerente, Comercio Minorista/ Cadena De Almacenes",True,True,False
occupation_144008,144008,"Gerente, Comercio Minorista/ Tiendas",True,True,False
occupation_144009,144009,"Gerente, Comercio Minorista/ Tiendas (Autoservicio)",True,True,False
occupation_144010,144010,"Gerente, Comercio Minorista/ Tiendas (Ventas Con Descuentos",True,True,False
occupation_144011,144011,"Gerente, Comercio Minorista/ Tiendas (Ventas Por Correo)",True,True,False
occupation_144012,144012,"Gerente Reparacion De Vehiculos, Auto Motores, Motocicletas",True,True,False
occupation_144013,144013,"Gerente, Tienda",True,True,False
occupation_145005,145005,"Gerente, Comercio Nep",True,True,False
occupation_146001,146001,"Gerente, Albergue/ Jovenes",True,True,False
occupation_146002,146002,"Gerente, Bar/Discoteca Y Snack Bar",True,True,False
occupation_146003,146003,"Gerente, Cafe-Teatro",True,True,False
occupation_146004,146004,"Gerente, Cafeteria",True,True,False
occupation_146005,146005,"Gerente, Campamento/ Vacaciones",True,True,False
occupation_146006,146006,"Gerente, Cantina/ Empresa",True,True,False
occupation_146007,146007,"Gerente, Casa De Huespedes",True,True,False
occupation_146008,146008,"Gerente, Fonda",True,True,False
occupation_146009,146009,"Gerente, Hosteleria",True,True,False
occupation_146010,146010,"Gerente, Hotel",True,True,False
occupation_146011,146011,"Gerente, Motel",True,True,False
occupation_146012,146012,"Gerente, Parque De Caravanas",True,True,False
occupation_146013,146013,"Gerente, Pension",True,True,False
occupation_146014,146014,"Gerente, Peña",True,True,False
occupation_146015,146015,"Gerente, Restaurante",True,True,False
occupation_146016,146016,"Gerente, Restaurante-Bar",True,True,False
occupation_146017,146017,"Gerente, Restaurante/ Autoservicio",True,True,False
occupation_146018,146018,"Gerente, Snack-Bar",True,True,False
occupation_146019,146019,"Gerente, Taberna",True,True,False
occupation_147001,147001,"Gerente, Almacenamiento",True,True,False
occupation_147002,147002,"Gerente, Comunicaciones",True,True,False
occupation_147003,147003,"Gerente, Transporte",True,True,False
occupation_145003,145003,"Concesionario-Adm., Rest. Y Cafeteria (Fab. Y Ofic.)",True,True,False
occupation_145004,145004,"Concesionario-Adm., Rest. Y Bar/Cafeteria (Tren, Barco, Avi",True,True,False
occupation_211001,211001,Astrofisico,True,True,False
occupation_211002,211002,Astronomo,True,True,False
occupation_211003,211003,Fisico,True,True,False
occupation_211004,211004,"Fisico, Acustica",True,True,False
occupation_211005,211005,"Fisico, Electricidad Y Magnetismo",True,True,False
occupation_211006,211006,"Fisico, Electronica",True,True,False
occupation_211007,211007,"Fisico, Estatica",True,True,False
occupation_211008,211008,"Fisico, Energia Solar (No Convencional)",True,True,False
occupation_211009,211009,"Fisico, Energia Nuclear",True,True,False
occupation_211010,211010,"Fisico, Fisica Nuclear",True,True,False
occupation_211011,211011,"Fisico, Fisica Teorica",True,True,False
occupation_211012,211012,"Fisico, Matematico",True,True,False
occupation_211013,211013,"Fisico, Mecanica",True,True,False
